iteration, error_rate
469,0.547097
470,0.547327
471,0.546882
472,0.546751
473,0.546854
474,0.54672
475,0.546802
476,0.546809
477,0.546637
478,0.546684
479,0.54672
480,0.546717
481,0.546636
482,0.546588
483,0.546627
484,0.546449
485,0.546498
486,0.546646
487,0.546787
488,0.546628
489,0.546754
490,0.546618
491,0.546277
492,0.546336
493,0.546255
494,0.546261
495,0.546258
496,0.546261
497,0.545783
498,0.545644
499,0.545565
500,0.545483
501,0.545422
502,0.545366
503,0.545562
504,0.545417
505,0.545428
506,0.545371
507,0.545414
508,0.545604
509,0.545428
510,0.545055
511,0.545096
512,0.545201
513,0.545429
514,0.545349
515,0.545101
516,0.544939
517,0.544977
518,0.544988
519,0.54471
520,0.544697
521,0.544652
522,0.544555
523,0.544606
524,0.544617
525,0.544658
526,0.544718
527,0.54481
528,0.544759
529,0.544798
530,0.544816
531,0.544822
532,0.5449
533,0.545065
534,0.544914
535,0.544766
536,0.544694
537,0.54446
538,0.544459
539,0.544548
540,0.544551
541,0.544669
542,0.544542
543,0.544673
544,0.544692
545,0.544514
546,0.544604
547,0.54486
548,0.544623
549,0.544219
550,0.543998
551,0.543897
552,0.543909
553,0.543639
554,0.54337
555,0.543134
556,0.542959
557,0.542597
558,0.542434
559,0.542505
560,0.542586
561,0.542657
562,0.542648
563,0.542532
564,0.542392
565,0.542433
566,0.542307
567,0.542237
568,0.542146
569,0.54195
570,0.542001
571,0.542492
572,0.54271
573,0.542508
574,0.542194
575,0.542423
576,0.542394
577,0.542383
578,0.542399
579,0.542449
580,0.542367
581,0.542607
582,0.542453
583,0.542122
584,0.541941
585,0.542706
586,0.542244
587,0.542161
588,0.541826
589,0.541898
590,0.541679
591,0.54164
592,0.541372
593,0.541442
594,0.541133
595,0.541063
596,0.540951
597,0.540415
598,0.540615
599,0.540884
600,0.540466
601,0.540174
602,0.540666
603,0.54055
604,0.540519
605,0.540364
606,0.540267
607,0.539957
608,0.539918
609,0.540127
610,0.541188
611,0.541771
612,0.541607
613,0.541636
614,0.542105
615,0.541343
616,0.541396
617,0.540772
618,0.540304
619,0.540401
620,0.540473
621,0.540764
622,0.540837
623,0.54096
624,0.540717
625,0.540479
626,0.541123
627,0.54113
628,0.540798
629,0.540269
630,0.540204
631,0.540283
632,0.540173
633,0.540544
634,0.540594
635,0.54051
636,0.540287
637,0.540318
638,0.54146
639,0.54088
640,0.540056
641,0.53935
642,0.540122
643,0.54011
644,0.539679
645,0.539043
646,0.539654
647,0.539582
648,0.538989
649,0.538949
650,0.538634
651,0.539286
652,0.538795
653,0.538546
654,0.538403
655,0.538071
656,0.537629
657,0.537947
658,0.537555
659,0.538019
660,0.539413
661,0.538465
662,0.539203
663,0.539394
664,0.538846
665,0.538408
666,0.539127
667,0.538665
668,0.538161
669,0.53883
670,1.059165
671,0.934609
672,0.928696
673,0.92727
674,0.932341
675,0.918633
676,0.911489
677,0.910668
678,0.909957
679,0.908603
680,0.904962
681,0.904613
682,0.903894
683,0.902085
684,0.901738
685,0.901555
686,0.90151
687,0.90124
688,0.900729
689,0.900011
690,0.900189
691,0.900146
692,0.900131
693,0.900558
694,0.900678
695,0.900546
696,0.899938
697,0.899997
698,0.899244
699,0.899016
700,0.898924
