iteration,cost
0,106.988949
1,71.561252
2,71.114794
3,70.925534
4,70.805310
5,70.711455
6,70.629771
7,70.554128
8,70.481334
9,70.409518
10,70.337461
11,70.264330
12,70.189574
13,70.112848
14,70.034008
15,69.953089
16,69.870275
17,69.785778
18,69.699676
19,69.611655
20,69.520680
21,69.424312
22,69.317258
23,69.186573
24,68.967549
25,68.677530
26,68.421048
27,67.835454
28,66.585394
29,65.722681
30,65.161712
31,64.594582
32,63.866740
33,63.027264
34,62.296055
35,61.688413
36,61.143809
37,60.617259
38,60.089197
39,59.548464
40,58.992972
41,58.437783
42,57.832930
43,57.241393
44,56.636328
45,56.010658
46,55.366641
47,54.698581
48,54.032316
49,53.383984
50,74.358336
51,68.502186
52,67.778472
53,67.127440
54,66.832936
55,66.462976
56,65.661932
57,65.200244
58,64.648020
59,64.213121
60,63.824805
61,63.457389
62,63.106305
63,62.785432
64,62.489423
65,62.171929
66,61.930960
67,61.915624
68,61.682124
69,61.410387
70,60.751942
71,59.941084
72,59.340846
73,58.692346
74,58.205880
75,57.656301
76,57.029170
77,56.337740
78,55.553638
79,54.682261
80,54.013238
81,53.455528
82,52.954687
83,52.471423
84,51.956943
85,51.456980
86,51.022462
87,50.613917
88,50.214747
89,49.816256
90,49.420556
91,49.034175
92,48.667669
93,48.316274
94,47.983169
95,47.666252
96,47.356300
97,47.046110
98,46.765937
99,46.491376
100,46.232815
101,45.983656
102,45.750603
103,45.521574
104,45.301027
105,45.088619
106,44.882251
107,44.679642
108,44.480060
109,44.284470
110,44.092000
111,43.904066
112,43.720720
113,43.541612
114,43.353301
115,43.170463
116,42.984678
117,42.810899
118,42.633496
119,42.457187
120,42.280767
121,42.103914
122,41.938907
123,41.777256
124,41.614262
125,41.452193
126,41.292226
127,41.135782
128,40.980084
129,40.826136
130,40.675091
131,40.526195
132,40.376154
133,40.223874
134,40.069849
135,39.914687
136,39.767534
137,39.629115
138,39.492715
139,39.360640
140,39.234239
141,39.115884
142,38.997229
143,38.875609
144,38.767275
145,38.655684
146,38.557704
147,38.455334
148,38.351429
149,38.250929
150,38.156738
151,38.061448
152,37.976270
153,37.869221
154,37.795096
155,37.695202
156,37.614820
157,37.521913
158,37.451730
159,37.362981
160,37.285386
161,37.212737
162,37.127267
163,37.025858
164,36.973036
165,36.951390
166,36.851286
167,36.779357
168,36.689226
169,36.642994
170,36.555647
171,36.503036
172,36.446035
173,36.365641
174,36.367377
175,36.416334
176,36.239700
177,36.213151
178,36.153775
179,36.223372
180,35.997681
181,36.014633
182,35.978833
183,35.999765
184,35.900827
185,35.828812
186,35.756042
187,35.724844
188,35.707872
189,35.583016
190,35.756634
191,35.815453
192,35.815057
193,35.777640
194,35.747157
195,35.646771
196,35.536042
197,35.505723
198,35.484975
199,35.512903
200,35.438899
201,35.333681
202,35.385222
203,35.197679
204,35.123484
205,34.999864
206,34.928293
207,34.887040
208,34.867703
209,34.855594
210,34.868219
211,34.829050
212,34.753278
213,34.745912
214,34.853187
215,34.837371
216,34.810088
217,34.717867
218,34.639377
219,34.656773
220,34.601691
221,34.646139
222,34.487663
223,34.437851
224,34.404225
225,34.443632
226,34.313761
227,34.274806
228,34.274225
229,34.180374
230,34.139677
231,34.090561
232,34.043337
233,34.001400
234,33.962208
235,33.924354
236,33.889712
237,33.852811
238,33.820473
239,33.785406
240,33.754343
241,33.721504
242,33.691966
243,33.661137
244,33.633006
245,33.604107
246,33.577110
247,33.549756
248,33.523650
249,33.497450
250,33.472065
251,33.446797
252,33.422117
253,33.397769
254,33.373965
255,33.350649
256,33.327901
257,33.305683
258,33.284009
259,33.262854
260,33.242194
261,33.222014
262,33.202284
263,33.182992
264,33.164114
265,33.145620
266,33.127491
267,33.109718
268,33.092266
269,33.075128
270,33.058289
271,33.041738
272,33.025482
273,33.009495
274,32.993788
275,32.978345
276,32.963161
277,32.948236
278,32.933575
279,32.919158
280,32.904987
281,32.891052
282,32.877346
283,32.863873
284,32.850619
285,32.837589
286,32.824763
287,32.812137
288,32.799719
289,32.787497
290,32.775461
291,32.763619
292,32.751950
293,32.740472
294,32.729155
295,32.718039
296,32.707043
297,32.696284
298,32.685577
299,32.675195
300,32.664717
301,32.654762
302,32.644369
303,32.635029
304,32.624353
305,32.616038
306,32.604410
307,32.597874
308,32.585282
309,32.580309
310,32.567073
311,32.562695
312,32.549643
313,32.545091
314,32.532857
315,32.527380
316,32.517011
317,32.509632
318,32.502522
319,32.492952
320,32.488251
321,32.478770
322,32.472508
323,32.460826
324,32.455333
325,32.448421
326,32.441763
327,32.432106
328,32.423176
329,32.404140
330,32.408217
331,32.389377
332,32.399059
333,32.378717
334,32.369130
335,32.362762
336,32.356989
337,32.348933
338,32.343176
339,32.335795
340,32.329113
341,32.323144
342,32.316391
343,32.310486
344,32.303595
345,32.298080
346,32.291208
347,32.285991
348,32.279037
349,32.274086
350,32.267291
351,32.262609
352,32.255816
353,32.251314
354,32.244626
355,32.240429
356,32.233676
357,32.229661
358,32.222916
359,32.219293
360,32.212422
361,32.208935
362,32.202092
363,32.199080
364,32.192037
365,32.189031
366,32.182150
367,32.179669
368,32.172514
369,32.169816
370,32.163048
371,32.160915
372,32.153758
373,32.151222
374,32.144716
375,32.142626
376,32.135703
377,32.133248
378,32.127024
379,32.124819
380,32.118317
381,32.115807
382,32.110006
383,32.107560
384,32.101702
385,32.099019
386,32.093848
387,32.091050
388,32.086114
389,32.083102
390,32.078843
391,32.075592
392,32.071818
393,32.068405
394,32.065258
395,32.061770
396,32.059231
397,32.055934
398,32.054045
399,32.051255
400,32.049758
401,32.047195
402,32.045359
403,32.042127
404,32.039623
405,32.035679
406,32.032746
407,32.028528
408,32.025434
409,32.021173
410,32.017985
411,32.013747
412,32.010496
413,32.006315
414,32.003009
415,31.998896
416,31.995534
417,31.991496
418,31.988085
419,31.984112
420,31.980653
421,31.976753
422,31.973271
423,31.969436
424,31.965953
425,31.962211
426,31.958741
427,31.955049
428,31.951566
429,31.947921
430,31.944421
431,31.940814
432,31.937308
433,31.933732
434,31.930232
435,31.926683
436,31.923189
437,31.919672
438,31.916185
439,31.912693
440,31.909214
441,31.905745
442,31.902286
443,31.898839
444,31.895396
445,31.891959
446,31.888537
447,31.885120
448,31.881716
449,31.878324
450,31.874938
451,31.871564
452,31.868203
453,31.864852
454,31.861514
455,31.858187
456,31.854875
457,31.851576
458,31.848289
459,31.845016
460,31.841760
461,31.838518
462,31.835294
463,31.832079
464,31.828883
465,31.825706
466,31.822545
467,31.819402
468,31.816275
469,31.813166
470,31.810075
471,31.807000
472,31.803945
473,31.800907
474,31.797888
475,31.794887
476,31.791905
477,31.788935
478,31.785988
479,31.783058
480,31.780140
481,31.777245
482,31.774368
483,31.771502
484,31.768651
485,31.765818
486,31.763003
487,31.760204
488,31.757417
489,31.754645
490,31.751888
491,31.749145
492,31.746416
493,31.743704
494,31.740999
495,31.738316
496,31.735641
497,31.732984
498,31.730338
499,31.727709
500,31.725090
501,31.722485
502,31.719892
503,31.717310
504,31.714744
505,31.712182
506,31.709629
507,31.707076
508,31.704526
509,31.701974
510,31.699424
511,31.696870
512,31.694317
513,31.691757
514,31.689199
515,31.686633
516,31.684064
517,31.681490
518,31.678912
519,31.676342
520,31.673778
521,31.671238
522,31.668713
523,31.666204
524,31.663705
525,31.661213
526,31.658729
527,31.656254
528,31.653775
529,31.651304
530,31.648841
531,31.646382
532,31.643928
533,31.641481
534,31.639037
535,31.636603
536,31.634175
537,31.631755
538,31.629339
539,31.626934
540,31.624528
541,31.622142
542,31.619761
543,31.617389
544,31.615020
545,31.612669
546,31.610312
547,31.607979
548,31.605643
549,31.603322
550,31.601001
551,31.598691
552,31.596386
553,31.594075
554,31.591791
555,31.589486
556,31.587210
557,31.584917
558,31.582641
559,31.580346
560,31.578076
561,31.575803
562,31.573530
563,31.571272
564,31.569018
565,31.566763
566,31.564524
567,31.562297
568,31.560059
569,31.557837
570,31.555632
571,31.553418
572,31.551211
573,31.549032
574,31.546864
575,31.544702
576,31.542596
577,31.540443
578,31.538348
579,31.536262
580,31.533761
581,31.531394
582,31.529224
583,31.526702
584,31.529006
585,31.522859
586,31.567722
587,31.534422
588,31.529272
589,31.523866
590,31.521016
591,31.516985
592,31.512857
593,31.509586
594,31.507262
595,31.505364
596,31.503252
597,31.499265
598,31.496536
599,31.493516
600,31.492157
601,31.489947
602,31.486831
603,31.483992
604,31.480519
605,31.478033
606,31.475807
607,31.473666
608,31.470432
609,31.467391
610,31.514208
611,31.749321
612,31.524653
613,31.517743
614,31.498875
615,31.474772
616,31.463323
617,31.454569
618,31.451038
619,31.449374
620,31.445412
621,31.441505
622,31.438816
623,31.435425
624,31.431324
625,31.427046
626,31.422947
627,31.419013
628,31.415103
629,31.410841
630,31.407497
631,31.404152
632,31.400582
633,31.396574
634,31.392518
635,31.388074
636,31.384713
637,31.380060
638,31.405927
639,31.398698
640,31.369376
641,31.386907
642,31.357973
643,31.375437
644,31.351943
645,31.384015
646,31.346314
647,31.359696
648,31.343117
649,31.348073
650,31.366757
651,31.331818
652,31.344472
653,31.336879
654,31.343945
655,31.325494
656,31.328887
657,31.317723
658,31.320113
659,31.311206
660,31.407590
661,31.337729
662,31.304755
663,31.314677
664,31.305474
665,31.307757
666,31.324727
667,31.320471
668,31.306726
669,31.304978
670,196.517520
671,106.801696
672,98.270933
673,96.115751
674,94.833689
675,94.024378
676,93.521683
677,93.154005
678,92.852184
679,92.589853
680,92.353511
681,92.134159
682,91.926249
683,91.728351
684,91.539599
685,91.357458
686,91.190546
687,91.014766
688,90.839014
689,90.671712
690,90.536244
691,90.377584
692,90.212552
693,90.099761
694,89.961072
695,89.819311
696,89.660406
697,89.516875
698,89.369589
699,89.240074
700,89.115778
701,88.996097
702,88.880825
703,88.769756
704,88.662662
705,88.559339
706,88.459587
707,88.363213
708,88.270056
709,88.179974
710,88.092837
711,88.008539
712,87.926947
713,87.847962
714,87.771479
715,87.697344
716,87.625447
717,87.555576
718,87.487477
719,87.420628
720,87.354201
721,87.286028
722,87.207897
723,87.053494
724,86.539118
725,86.157692
726,85.717381
727,84.765515
728,83.678794
729,83.274055
730,82.997949
731,82.640709
732,82.462147
733,82.165671
734,82.511706
735,83.065872
736,81.788378
737,84.786292
738,82.027372
739,81.753623
740,82.579589
741,82.021099
742,82.615247
743,81.869576
744,83.133938
745,81.775656
746,83.291946
747,81.855442
748,81.296913
749,83.003690
750,81.447726
751,81.898414
752,81.348408
753,82.172935
754,81.049005
755,81.112804
756,81.407424
757,82.363738
758,80.529253
759,80.850119
760,80.021646
761,80.010408
762,81.295552
763,80.237356
764,81.880932
765,79.905089
766,79.421386
767,80.119910
768,80.288984
769,79.538569
770,80.149816
771,80.042670
772,80.928541
773,78.852043
774,79.659942
775,78.932685
776,79.369689
777,80.847937
778,78.827155
779,79.145011
780,80.757147
781,78.975320
782,78.990173
783,80.983352
784,78.936093
785,78.647427
786,79.470699
787,78.593644
788,80.374070
789,78.762936
790,78.967179
791,79.014150
792,79.024898
793,77.908923
794,79.059358
795,80.800480
796,78.627588
797,77.919345
798,78.633428
799,78.482851
800,78.605546
801,78.424606
802,78.000575
803,78.263873
804,79.095758
805,78.160620
806,78.722937
807,77.989096
808,78.328980
809,78.014107
810,78.017388
811,78.697662
812,78.073801
813,78.226948
814,77.671910
815,77.547149
816,78.732862
817,78.097824
818,77.675336
819,77.866269
820,77.747142
821,77.658670
822,77.741358
823,77.673983
824,77.890244
825,77.741477
826,77.600652
827,78.161076
828,77.396040
829,77.735835
830,77.472631
831,77.888769
832,77.698547
833,78.084073
834,77.766598
835,77.529750
836,77.794248
837,77.671778
838,77.561017
839,77.832659
840,77.848948
841,77.251289
842,77.537136
843,77.594140
844,76.850791
845,77.037418
846,76.933586
847,76.933148
848,76.477608
849,77.085389
850,76.574253
851,77.151143
852,75.999882
853,77.174490
854,76.463460
855,76.030767
856,76.830515
857,76.888607
858,76.600372
859,76.673133
860,76.683272
861,79.015290
862,77.356952
863,77.026566
864,75.992331
865,76.643930
866,76.519286
867,77.322798
868,75.660678
869,76.239962
870,75.916999
871,76.805405
872,76.712870
873,76.250320
874,76.032297
875,75.597011
876,76.195922
877,77.104960
878,76.471237
879,76.263743
880,75.843823
881,77.062737
882,76.345554
883,76.254674
884,75.930312
885,75.819992
886,75.716447
887,75.646788
888,75.548676
889,75.495703
890,75.350638
891,74.713882
892,74.496481
893,74.125041
894,73.545381
895,73.177871
896,73.006458
897,72.900866
898,72.815242
899,72.635003
900,72.446445
901,72.349397
902,72.127200
903,72.000783
904,72.010675
905,71.806569
906,71.693755
907,71.713050
908,71.598287
909,71.483483
910,71.500095
911,71.441618
912,71.312616
913,71.293540
914,71.328822
915,71.175520
916,71.097595
917,71.030274
918,70.973962
919,70.939999
920,70.864964
921,70.798272
922,70.751807
923,70.703367
924,70.653276
925,70.566377
926,70.589421
927,70.590334
928,70.484126
929,70.525550
930,70.680512
931,70.702377
932,70.219497
933,70.091552
934,71.711738
935,71.654702
936,70.864858
937,68.549728
938,67.348186
939,67.343844
940,66.603291
941,66.281005
942,65.865486
943,65.743344
944,65.401472
945,65.209624
946,65.069996
947,65.068539
948,64.794600
949,64.682542
950,67.766834
951,65.540886
952,64.488464
953,64.413911
954,64.425943
955,64.294484
956,64.220124
957,64.099373
958,63.975158
959,63.821425
960,63.697588
961,63.598094
962,63.509085
963,63.448944
964,63.381094
965,63.322544
966,63.267287
967,63.217077
968,63.170520
969,63.123539
970,63.081597
971,63.040003
972,63.005018
973,62.967685
974,62.931394
975,62.897664
976,62.864998
977,62.833747
978,62.803655
979,62.774559
980,62.746317
981,62.718852
982,62.692113
983,62.666040
984,62.640658
985,62.616383
986,62.591000
987,62.569033
988,62.550958
989,62.520297
990,62.498297
991,62.475770
992,62.455160
993,62.438195
994,62.576996
995,62.395954
996,62.370463
997,62.352136
998,62.331337
999,62.312365
