iteration,cost
456,35.826385
457,36.391629
458,35.560766
459,35.228426
460,35.701367
461,35.513274
462,35.265829
463,35.100013
464,35.421766
465,35.107884
466,35.121675
467,34.817124
468,34.878479
469,34.726651
470,34.821674
471,34.578774
472,34.671709
473,40.823791
474,41.926513
475,40.404949
476,40.281466
477,39.133168
478,41.471399
479,35.95225
480,35.360204
481,35.155551
482,34.973824
483,34.978005
484,34.733201
485,34.617028
486,34.55553
487,34.413372
488,34.349684
489,34.338406
490,34.286947
491,34.187689
492,35.635192
493,34.857012
494,34.494264
495,34.274993
496,34.225653
497,34.136169
498,34.079005
499,34.038888
